,Sentences
3094,"These decayed teeth provide cavities in which food particles decay and germs grow, and through which poisons are absorbed."
3095,Now just a few suggestions about the care of the teeth.
3096,Every boy should own his own tooth brush.
3097,The teeth should be scrubbed at least twice a day.
3098,"At night they should receive most careful cleansing, using a good tooth paste or powder."
3099,Then again in the morning they should be rinsed at which time simply clean water is sufficient.
3100,Time should be taken in the cleansing of the teeth.
3101,"The gums should be included in the scrubbing, as this acts as a good stimulant to the circulation of the blood to the teeth."
3102,"Not only should the teeth be brushed with a backward and forward stroke, as we ordinarily do, but also upward and downward the length of the teeth."
3103,"In addition to the scrubbing, particles of food which are lodged between the teeth should be removed after meals, or at least after the last meal of the day."
3104,This is most safely done by the use of a thread of a fair degree of thickness.
3105,Dentists and druggists furnish this thread in spools.
3106,Hard toothpicks often cause bleeding and detach fillings.
3107,A dentist should be visited once every six months so as to detect decay immediately.
3108,Never have a tooth pulled unless absolutely necessary.
3109,Care of the Eyes Most troubles with the eyes come from eye strain.
3110,Styes and red lids are usually due to this cause.
3111,"See how foolish, therefore, it is to treat these conditions as causes, when really they are only the result of something else."
3112,Sometimes wild hairs and skin disease affect the eyes.
3113,Eye strain should be removed by wearing well fitting glasses and then these other conditions will disappear.
3114,"If constant headache is experienced or the eyes itch or become tired easily, there is possibly eye strain."
3115,One way to test the eye is for vision.
3116,Place the following letters fifteen feet from you.
3117,"If you cannot read them clearly with both eyes and with each eye separately, consult a first class oculist."
3118,C L V F O T E A C F D L O T D V C L A E O T F Never buy eye glasses unless fitted by an expert.
3119,Such glasses should be worn in proper relation to the eyes.
3120,They should not be permitted to slide forward on the nose or tilt.
3121,They may need to be changed often as the eyes grow better.
3122,"For reading, a good, steady light is needed."
3123,Never sit in front of a window facing it to read.
3124,Always have the light come from the rear and over the left shoulder preferably.
3125,The book should be held on a level with the face and not too close.
3126,Reading when lying down or from the light of a fireplace is unwise.
3127,Care of the Ears Affections of the ears are exceedingly serious and may lead to grave results.
3128,Any trouble with them should be given very prompt attention and a good specialist consulted.
3129,"Pain in the ear, or ringing or hissing sounds, and particularly any discharge from the ear, should not be neglected."
3130,Any sign of deafness must be heeded.
3131,Sometimes deafness occurs in reference to some particular sounds while hearing is normal to others.
3132,No matter what the degree of deafness may be do not neglect to see a physician about it.
